x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.07,0.0,1.4783883330931037e-193,1.8357584584039315e-220,3.738230243801442e-231,0.0
0.07200000000000001,0.0,2.280952330767832e-192,3.2634564514407834e-219,7.799933329618275e-230,0.0
0.074,0.0,3.4893349214022584e-191,5.753751848892266e-218,1.6132551360284067e-228,0.0
0.076,0.0,5.292585345200672e-190,1.0060868097257157e-216,3.3075204982717056e-227,0.0
0.078,0.0,7.959611085700579e-189,1.7447403505754473e-215,6.721858321439359e-226,0.0
0.08,0.0,1.1869012623172312e-187,3.00080087065496e-214,1.3541397497620364e-224,0.0
0.082,0.0,1.754834243288248e-186,5.118639826267338e-213,2.7041136533412393e-223,0.0
0.084,0.0,2.5725058706172717e-185,8.659304029418028e-212,5.352710032262981e-222,0.0
0.08600000000000001,0.0,3.7391717490470155e-184,1.4528555175693531e-210,1.050291415619971e-220,0.0
0.088,0.0,5.388814304439483e-183,2.4175356582461487e-209,2.0428347480649088e-219,0.0
0.09,0.0,7.700337990789373e-182,3.989646092432226e-208,3.9386190687063017e-218,0.0
0.092,0.0,1.0910009357505009e-180,6.529905246246489e-207,7.527348857396746e-217,0.0
0.094,0.0,1.5326367089241272e-179,1.0599622756493633e-205,1.4260259576096248e-215,0.0
0.096,0.0,2.1347749048420156e-178,1.706416183306645e-204,2.6779356694065587e-214,0.0
0.098,0.0,2.948246010994482e-177,2.7245233639432016e-203,4.9849427056587394e-213,0.0
0.1,0.0,4.037142839609353e-176,4.314268150190824e-202,9.198299036409283e-212,0.0
0.10200000000000001,0.0,5.481296270897232e-175,6.775397138439424e-201,1.6824501287722968e-210,0.0
0.10400000000000001,0.0,7.3788928403081385e-174,1.0552938353384264e-199,3.050452011100318e-209,0.0
0.106,0.0,9.849130574127595e-173,1.630133112823864e-198,5.482435320333692e-208,0.0
0.108,0.0,1.3034769391173644e-171,2.497375006285822e-197,9.767201747075112e-207,0.0
0.11,0.0,1.710438936824659e-170,3.794508030556957e-196,1.7248610774817902e-205,0.0
0.112,0.0,2.2254126984409908e-169,5.717921850373704e-195,3.0194330753192207e-204,0.0
0.114,0.0,2.870861985292175e-168,8.545391774410341e-194,5.239429681442345e-203,0.0
0.116,0.0,3.6720859051769256e-167,1.2665920718990157e-192,9.012181843864618e-202,0.0
0.11800000000000001,0.0,4.6570630298043215e-166,1.8618838138003794e-191,1.5366083836409596e-200,0.0
0.12,0.0,5.856122654600652e-165,2.714434783895691e-190,2.597070700400248e-199,0.0
0.122,0.0,7.30141406416567e-164,3.924797659246713e-189,4.35102590567326e-198,0.0
0.124,0.0,9.026150218302662e-163,5.628156386431193e-188,7.225815820029897e-197,0.0
